City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,barreiras,-12.1528,-44.99,25.34,44,49,1.41,BR,1730085157
149,badger,64.8,-147.5333,-14.24,85,20,0.0,US,1730085159
150,caleta de carquin,-11.0925,-77.6267,17.56,85,64,4.13,PE,1730085160
151,shixing,24.9482,114.0657,21.99,73,89,1.83,CN,1730085161
152,ingeniero guillermo n. juarez,-23.9,-61.85,21.37,29,4,3.16,AR,1730085162
153,fale old settlement,-9.3852,-171.2468,27.81,76,100,6.52,TK,1730085163
154,codrington,-38.2667,141.9667,15.01,57,70,5.69,AU,1730085164
155,weno,7.4515,151.8468,29.23,71,90,3.36,FM,1730085165
156,conception bay south,47.4999,-52.9981,4.4,90,77,6.87,CA,1730085166
157,qaqortoq,60.7167,-46.0333,0.26,99,100,3.07,GL,1730085167
158,kununurra,-15.7667,128.7333,36.99,39,20,3.6,AU,1730085121
159,pampa,35.5362,-100.9599,20.02,56,0,5.66,US,1730085170
160,heber city,40.5069,-111.4132,15.36,37,70,1.8,US,1730085171
161,sabathu,30.9719,76.9933,19.37,72,5,0.0,IN,1730085172
162,xindian,36.7975,118.2944,14.95,47,41,1.32,CN,1730085173
163,semnan,35.5729,53.3971,9.3,56,2,0.31,IR,1730085174
164,ibarreta,-25.2144,-59.8585,18.14,39,0,2.54,AR,1730085176
165,crane,31.3974,-102.3501,24.1,32,0,9.65,US,1730085179
166,puerto armuelles,8.2833,-82.8667,27.83,75,100,0.45,PA,1730085180
167,leskovac,42.9981,21.9461,11.68,64,53,0.94,RS,1730085181
168,avarua,-21.2078,-159.775,24.03,60,20,3.6,CK,1730085182
169,as sanad,34.4628,9.264,16.92,96,100,4.18,TN,1730085183
170,kismayo,-0.3582,42.5454,25.5,76,100,5.0,SO,1730085184
171,loiza,18.4313,-65.8802,27.99,87,20,0.0,PR,1730085186
172,kalajoki,64.25,23.95,6.06,79,100,7.11,FI,1730085187
173,binh long,11.6512,106.6071,23.01,96,100,1.49,VN,1730085188
174,akureyri,65.6835,-18.0878,-5.92,81,32,3.11,IS,1730085189
175,bubaque,11.2833,-15.8333,27.66,79,51,5.1,GW,1730085190
176,santa maria,-29.6842,-53.8069,12.96,76,0,2.73,BR,1730085181
177,hithadhoo,-0.6,73.0833,27.93,76,100,5.41,MV,1730085680
178,kaifeng,34.7911,114.3483,18.41,44,0,0.85,CN,1730085681
179,nemuro,43.3236,145.575,11.41,77,49,11.09,JP,1730085682
180,vernon,50.2581,-119.2691,10.52,65,91,3.09,CA,1730085683
181,bo phloi,14.3236,99.5161,29.15,76,99,1.21,TH,1730085684
182,tura,25.5198,90.2201,26.68,67,0,0.46,IN,1730085686
183,henderson,36.0397,-114.9819,27.55,12,0,4.12,US,1730085687
184,korla,41.7597,86.1469,13.46,32,65,4.54,CN,1730085688
185,salekhard,66.53,66.6019,-4.84,89,67,3.31,RU,1730085690
186,banjar,-8.19,114.9675,34.53,48,77,2.98,ID,1730085691
187,cidreira,-30.1811,-50.2056,18.78,69,0,7.0,BR,1730085692
188,cuyo,10.8525,121.0086,28.22,81,69,7.88,PH,1730085693
189,garoowe,8.4054,48.4845,23.61,77,74,2.86,SO,1730085695
190,louisville,38.2542,-85.7594,10.54,66,0,1.44,US,1730085430
191,newman,37.3138,-121.0208,19.46,69,100,2.24,US,1730085697
192,ust-nera,64.5667,143.2,-16.54,94,89,2.12,RU,1730085698
193,carnarvon,-24.8667,113.6333,29.31,44,0,5.2,AU,1730085699
194,atafu village,-8.5421,-172.5159,27.84,74,100,5.32,TK,1730085701
195,shingu,33.7333,135.9833,23.61,64,100,1.37,JP,1730085702
196,cartagena del chaira,1.3349,-74.8429,22.86,99,100,0.96,CO,1730085703
197,ocean city,39.2776,-74.5746,8.89,72,7,0.45,US,1730085671
